Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-12-25 19:39:12,"Evening Workout",40m,"Triceps Dip",4,0.0,8,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Lateral Raise (Dumbbell)",1,8.5,18,0,0,"",,
2024-12-25 19:39:12,"Evening Workout",40m,"Lateral Raise (Dumbbell)",2,8.5,18,0,0,,,
2024-12-25 19:39:12,"Evening Workout",40m,"Bicep Curl (Dumbbell)",1,13.5,10,0,0,"",,
2024-12-25 19:39:12,"Evening Workout",40m,"Bicep Curl (Dumbbell)",2,13.5,3,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",1,0,8,0,0,"","",
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",2,0,10,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",3,0,9,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",4,0,8,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",5,0,8,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",6,0,6,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",7,0,6,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Pull Up",8,0,6,0,0,,,
2024-12-29 17:01:22,"Afternoon Workout",45m,"Push Up",1,0,20,0,0,"",,
