"","author","coauthor","count"
"723","Paprzycki M","Watanobe Y",2
"724","Paprzycki M","Wrona Z",4
"725","Paprzycki M","Wróblewska A",2
"726","Paprzycki M","Yadav M",1
"727","Paprzycki M","Zalewski J",1
"728","Paprzycki M","Załuski A",1
"729","Paprzycki M","Łajewska W",1
"730","Paprzycki M","Łuczak A",1
"731","Pilipczuk M","Abrishami T",3
"732","Pilipczuk M","Bellitto T",1
"733","Pilipczuk M","Bonamy M",1
"734","Pilipczuk M","Bousquet N",1
"735","Pilipczuk M","Chudnovsky M",6
"736","Pilipczuk M","Gajarský J",1
"737","Pilipczuk M","Gartland P",4
"738","Pilipczuk M","Jaffke L",1
"739","Pilipczuk M","King J",2
"740","Pilipczuk M","Li S",1
"741","Pilipczuk M","Lima P",1
"742","Pilipczuk M","Lokshtanov D",4
"743","Pilipczuk M","Majewski K",2
"744","Pilipczuk M","Masarik T",7
"745","Pilipczuk M","Masarikova J",1
"746","Pilipczuk M","McCarty R",1
"747","Pilipczuk M","Muzi I",2
"748","Pilipczuk M","Novotna J",3
"749","Pilipczuk M","Okrasa K",5
"750","Pilipczuk M","Rzążewski P",21
"751","Pilipczuk M","Seymour P",2
"752","Pilipczuk M","Sokołowski M",2
"753","Pilipczuk M","Sorge M",4
"754","Pilipczuk M","Souza U",1
"755","Pilipczuk M","Spirkl S",2
"756","Pilipczuk M","Thomasse S",1
"757","Pilipczuk M","Walczak B",1
"758","Pilitowska A","Jedlička P",11
"759","Pilitowska A","Lehtonen E",2
"760","Pilitowska A","Niebrzydowski M",2
"761","Pilitowska A","Romanowska A",5
"762","Pilitowska A","Stanovský D",2
"763","Plewczyński D","Aaron J",1
"764","Plewczyński D","Agarwal A",3
"765","Plewczyński D","Baczyńska E",2
"766","Plewczyński D","Bajor M",1
"767","Plewczyński D","Bandyopadhyay S",2
"768","Plewczyński D","Banecki K",4
"769","Plewczyński D","Banik A",1
"770","Plewczyński D","Bas I",1
"771","Plewczyński D","Basu S",15
"772","Plewczyński D","Biernat W",1
"773","Plewczyński D","Bijata M",2
"774","Plewczyński D","Bokota G",9
"775","Plewczyński D","Brognard J",1
"776","Plewczyński D","Burocziova M",1
"777","Plewczyński D","Burzykowski T",1
"778","Plewczyński D","Chatterjee P",7
"779","Plewczyński D","Chiliński M",8
"780","Plewczyński D","Choudhury A",1
"781","Plewczyński D","Claesen J",1
"782","Plewczyński D","Crowley C",1
"783","Plewczyński D","Czarnota T",1
"784","Plewczyński D","Danek P",1
"785","Plewczyński D","Das N",2
"786","Plewczyński D","Dawson W",2
"787","Plewczyński D","Denkiewicz M",5
"788","Plewczyński D","Dermawan D",1
"789","Plewczyński D","Dobisova T",2
"790","Plewczyński D","Fathipour H",1
"791","Plewczyński D","Fichna J",1
"792","Plewczyński D","Fullwood M",1
"793","Plewczyński D","Gadakh S",1
"794","Plewczyński D","Gajda E",1
"795","Plewczyński D","Ghosh N",8
"796","Plewczyński D","Golab J",1
"797","Plewczyński D","Gorczynski A",1
"798","Plewczyński D","Gołąb J",1
"799","Plewczyński D","Grabowski P",1
"800","Plewczyński D","Grusanovic S",1
"801","Plewczyński D","Grzywa T",1
"802","Plewczyński D","Górczak K",1
"803","Plewczyński D","Halder A",10
"804","Plewczyński D","Hall M",1
"805","Plewczyński D","Hidayat S",1
"806","Plewczyński D","Hirai H",1
"807","Plewczyński D","Hu W",1
"808","Plewczyński D","Jodkowska K",3
"809","Plewczyński D","Kaczmarski K",1
"810","Plewczyński D","Kadlof M",5
"811","Plewczyński D","Kaminska K",1
"812","Plewczyński D","Kazakiewicz D",1
"813","Plewczyński D","Kedzierska H",1
"814","Plewczyński D","Klonizakis A",1
"815","Plewczyński D","Klopotowska M",1
"816","Plewczyński D","Kokot A",1
"817","Plewczyński D","Korsak S",4
"818","Plewczyński D","Korwat A",1
"819","Plewczyński D","Kraft A",1
"820","Plewczyński D","Krawczyk K",1
"821","Plewczyński D","Krzyszton M",3
"822","Plewczyński D","Król P",1
"823","Plewczyński D","Lancucki A",1
"824","Plewczyński D","Lazniewski M",4
"825","Plewczyński D","Lee B",2
"826","Plewczyński D","Leja M",1
"827","Plewczyński D","Leśniewski M",1
"828","Plewczyński D","Li G",1
"829","Plewczyński D","Li L",1
"830","Plewczyński D","Li M",1
"831","Plewczyński D","Li X",1
"832","Plewczyński D","Lipinski J",2
"833","Plewczyński D","Lipiński P",1
"834","Plewczyński D","Magalska A",3
"835","Plewczyński D","Magnowska M",1
"836","Plewczyński D","Maity D",2
"837","Plewczyński D","Majchrowska M",1
"838","Plewczyński D","Malkowska M",1
"839","Plewczyński D","Marusiak A",1
"840","Plewczyński D","Mazzocco G",1
"841","Plewczyński D","Mehlich D",1
"842","Plewczyński D","Milosevic M",1
"843","Plewczyński D","Mollah A",1
"844","Plewczyński D","Montez M",1
"845","Plewczyński D","Muchtaridi M",1
"846","Plewczyński D","Myronov O",1
"847","Plewczyński D","Nandi S",1
"848","Plewczyński D","Nasipuri M",7
"849","Plewczyński D","Nirmal D",2
"850","Plewczyński D","Nowis D",2
"851","Plewczyński D","Oziębło D",1
"852","Plewczyński D","Ołdak M",1
"853","Plewczyński D","Pal A",1
"854","Plewczyński D","Parteka Z",2
"855","Plewczyński D","Pels K",2
"856","Plewczyński D","Podder S",1
"857","Plewczyński D","Prelowska M",1
"858","Plewczyński D","Rakshit S",3
"859","Plewczyński D","Ren B",1
"860","Plewczyński D","Rohlena J",1
"861","Plewczyński D","Rohlenova K",1
"862","Plewczyński D","Roszczyk D",1
"863","Plewczyński D","Ruan Y",5
"864","Plewczyński D","Rusek A",1
"865","Plewczyński D","Ruszczycki B",4
"866","Plewczyński D","Rydzynska Z",1
"867","Plewczyński D","Różycka J",1
"868","Plewczyński D","Sacharowski S",2
"869","Plewczyński D","Sadowski M",2
"870","Plewczyński D","Saha I",12
"871","Plewczyński D","Saha S",4
"872","Plewczyński D","Salimi S",2
"873","Plewczyński D","Sarkar J",3
"874","Plewczyński D","Sarosiak A",1
"875","Plewczyński D","Seal A",1
"876","Plewczyński D","Sengupta K",5
"877","Plewczyński D","Sharma N",1
"878","Plewczyński D","Skarżyński H",1
"879","Plewczyński D","Sokolowska O",1
"880","Plewczyński D","Sosnowska A",1
"881","Plewczyński D","Spilianakis C",1
"882","Plewczyński D","Sroka J",1
"883","Plewczyński D","Such M",1
"884","Plewczyński D","Szałaj P",2
"885","Plewczyński D","Szczepankiewicz A",2
"886","Plewczyński D","Szczepińska T",2
"887","Plewczyński D","Tabar V",6
"888","Plewczyński D","Tang Z",2
"889","Plewczyński D","Tian S",1
"890","Plewczyński D","Trzaskoma P",2
"891","Plewczyński D","Tsoukatou D",1
"892","Plewczyński D","Urban P",2
"893","Plewczyński D","Vanickova K",1
"894","Plewczyński D","Walczak A",2
"895","Plewczyński D","Wan Y",1
"896","Plewczyński D","Wang P",1
"897","Plewczyński D","Wang X",1
"898","Plewczyński D","Wilczyński G",2
"899","Plewczyński D","Winiarska M",1
"900","Plewczyński D","Wlodarczyk J",2
"901","Plewczyński D","Wolny A",2
"902","Plewczyński D","Wu W",1
"903","Plewczyński D","Wyrwicz L",1
"904","Plewczyński D","Własnowolski M",6
"905","Plewczyński D","Xu H",1
"906","Plewczyński D","Yang Y",1
"907","Plewczyński D","Yi X",1
"908","Plewczyński D","Yokota A",1
"909","Plewczyński D","Zagozdzon R",1
"910","Plewczyński D","Zareifard H",3
"911","Plewczyński D","Załmyńska K",1
"912","Plewczyński D","Zelenka T",1
"913","Plewczyński D","Zhang S",1
"914","Plewczyński D","Zheng M",1
"915","Plewczyński D","Zhi M",1
"916","Plewczyński D","Zhu J",1
"917","Plewczyński D","Zubek J",1
"918","Plewczyński D","Łaźniewski M",2
"919","Plewczyński D","Świerzewski S",3
"920","Romanowska A","Adaricheva K",1
"921","Romanowska A","Bergman C",1
"922","Romanowska A","Bińczak G",1
"923","Romanowska A","Czedli G",3
"924","Romanowska A","Jabłoński B",1
"925","Romanowska A","Komorowski A",1
"926","Romanowska A","Maroti M",1
"927","Romanowska A","Matczak K",6
"928","Romanowska A","Mućka A",5
"929","Romanowska A","Penza T",2
"930","Romanowska A","Pilitowska A",5
"931","Romanowska A","Smith J",5
"932","Romanowska A","Stronkowski M",1
"933","Romanowska A","Ślusarski P",1
"934","Rzążewski P","Abrishami T",5
"935","Rzążewski P","Biro C",1
"936","Rzążewski P","Bok J",2
"937","Rzążewski P","Bonamy M",2
"938","Rzążewski P","Bondy A",1
"939","Rzążewski P","Bonnet E",5
"940","Rzążewski P","Bosek B",2
"941","Rzążewski P","Bousquet N",2
"942","Rzążewski P","Charbit P",1
"943","Rzążewski P","Chen H",2
"944","Rzążewski P","Chudnovsky M",10
"945","Rzążewski P","Czerwiński S",2
"946","Rzążewski P","Dabrowski K",3
"947","Rzążewski P","Dereniowski D",1
"948","Rzążewski P","Dibek C",2
"949","Rzążewski P","Dobbins M",1
"950","Rzążewski P","Dvorak P",3
"951","Rzążewski P","Dębski M",7
"952","Rzążewski P","Edwards K",1
"953","Rzążewski P","Evans W",1
"954","Rzążewski P","Feghali C",1
"955","Rzążewski P","Feldmann A",2
"956","Rzążewski P","Fiala J",2
"957","Rzążewski P","Focke J",2
"958","Rzążewski P","Gajarský J",1
"959","Rzążewski P","Gartland P",2
"960","Rzążewski P","Giannopoulos P",1
"961","Rzążewski P","Goedgebeur J",1
"962","Rzążewski P","Groenland C",2
"963","Rzążewski P","Grytczuk J",2
"964","Rzążewski P","Hajebi S",1
"965","Rzążewski P","Herburt I",1
"966","Rzążewski P","Huang S",2
"967","Rzążewski P","Jaffke L",1
"968","Rzążewski P","Jansen B",2
"969","Rzążewski P","Jedlickova N",2
"970","Rzążewski P","Johnson M",1
"971","Rzążewski P","Jooken J",1
"972","Rzążewski P","Kaczmarski K",1
"973","Rzążewski P","Kim E",1
"974","Rzążewski P","King J",2
"975","Rzążewski P","Kleist L",1
"976","Rzążewski P","Kratochvil J",2
"977","Rzążewski P","Krawczyk M",1
"978","Rzążewski P","Lima P",2
"979","Rzążewski P","Lokshtanov D",2
"980","Rzążewski P","Lonc Z",7
"981","Rzążewski P","Majewski K",2
"982","Rzążewski P","Mannens I",1
"983","Rzążewski P","Marx D",3
"984","Rzążewski P","Masarik T",9
"985","Rzążewski P","Masarikova J",1
"986","Rzążewski P","McCarty R",1
"987","Rzążewski P","Milanič M",1
"988","Rzążewski P","Miltzow T",3
"989","Rzążewski P","Morrison N",1
"990","Rzążewski P","Muršič P",1
"991","Rzążewski P","Muzi I",2
"992","Rzążewski P","Naroski P",1
"993","Rzążewski P","Nazarczuk M",1
"994","Rzążewski P","Nederlof J",1
"995","Rzążewski P","Nir J",1
"996","Rzążewski P","Norin S",1
"997","Rzążewski P","Novotna J",6
"998","Rzążewski P","Okrasa K",16
"999","Rzążewski P","Osula D",1
"1000","Rzążewski P","Paesani G",5
"1001","Rzążewski P","Paulusma D",7
"1002","Rzążewski P","Pergel M",1
"1003","Rzążewski P","Piecyk M",6
"1004","Rzążewski P","Pieterse A",2
"1005","Rzążewski P","Pilipczuk M",21
"1006","Rzążewski P","Rai A",2
"1007","Rzążewski P","Saeedi N",1
"1008","Rzążewski P","Schaudt O",1
"1009","Rzążewski P","Scott A",1
"1010","Rzążewski P","Seymour P",3
"1011","Rzążewski P","Shin C",1
"1012","Rzążewski P","Sikora F",2
"1013","Rzążewski P","Sokołowski M",2
"1014","Rzążewski P","Sorge M",3
"1015","Rzążewski P","Souza U",1
"1016","Rzążewski P","Spirkl S",6
"1017","Rzążewski P","Thomasse S",2
"1018","Rzążewski P","Vuskovic K",1
"1019","Rzążewski P","Walczak B",1
"1020","Rzążewski P","Wesolek A",1
"1021","Rzążewski P","Wolant A",1
"1022","Rzążewski P","Wolff A",1
"1023","Rzążewski P","Zhong M",2
"1024","Rzążewski P","Łyczek K",1
"1025","Rzążewski P","Štorgel K",1
"1026","Rzążewski P","Żuk A",1
"1027","Sasin W","Drachal K",1
"1028","Sasin W","Eckstein M",1
"1029","Sasin W","Falkiewicz E",1
"1030","Sasin W","Heller M",9
"1031","Sasin W","Miller T",3
"1032","Sasin W","Odrzygóźdź Z",5
"1033","Sasin W","Odżygóźdź Z",1
"1034","Sasin W","Pysiak L",17
"1035","Smoktunowicz A","Barlow J",1
"1036","Smoktunowicz A","Greenfeld B",2
"1037","Smoktunowicz A","Kierzkowski J",2
"1038","Smoktunowicz A","Kopal J",2
"1039","Smoktunowicz A","Kosowski P",1
"1040","Smoktunowicz A","Kozera R",1
"1041","Smoktunowicz A","Leroy A",1
"1042","Smoktunowicz A","Oderda G",1
"1043","Smoktunowicz A","Pawelec E",4
"1044","Smoktunowicz A","Rozloznik M",2
"1045","Smoktunowicz A","Tuma M",1
"1046","Smoktunowicz A","Wróbel I",4
"1047","Smoktunowicz A","Ziembowski M",3
"1048","Wesołowski J","Ahsanullah M",1
"1049","Wesołowski J","Baron K",1
"1050","Wesołowski J","Bobecka K",9
"1051","Wesołowski J","Bryc W",10
"1052","Wesołowski J","Ciepiela P",1
"1053","Wesołowski J","Dembińska A",1
"1054","Wesołowski J","Dołęgowski A",1
"1055","Wesołowski J","Ger R",1
"1056","Wesołowski J","Gniado M",1
"1057","Wesołowski J","Gouet R",1
"1058","Wesołowski J","Hamedani G",1
"1059","Wesołowski J","Hitczenko P",2
"1060","Wesołowski J","Hoque Z",2
"1061","Wesołowski J","Hossain S",2
"1062","Wesołowski J","Karczewski R",1
"1063","Wesołowski J","Khan M",1
"1064","Wesołowski J","Koudou A",1
"1065","Wesołowski J","Kowalski J",1
"1066","Wesołowski J","Kuznetsov A",1
"1067","Wesołowski J","Letac G",3
"1068","Wesołowski J","Massam H",1
"1069","Wesołowski J","Matysiak W",3
"1070","Wesołowski J","Misiewicz J",2
"1071","Wesołowski J","Niemiro W",1
"1072","Wesołowski J","Piccioni M",1
"1073","Wesołowski J","Pietrzak M",1
"1074","Wesołowski J","Piliszek A",2
"1075","Wesołowski J","Rempała G",3
"1076","Wesołowski J","Sakowicz A",1
"1077","Wesołowski J","Seweryn M",1
"1078","Wesołowski J","Szpojankowski K",2
"1079","Wesołowski J","Tarczyński J",1
"1080","Wesołowski J","Wang Y",4
"1081","Wesołowski J","Wieczorkowski R",3
"1082","Wesołowski J","Witkowski P",2
"1083","Wesołowski J","Wojtyś M",1
"1084","Wesołowski J","Wójciak W",2
"1085","Wesołowski J","Yang Z",1
"1086","Wesołowski J","Zięba A",2
"1087","Wróblewska A","Adrian W",1
"1088","Wróblewska A","Biecek P",2
"1089","Wróblewska A","Daniluk M",1
"1090","Wróblewska A","Dovbnia O",1
"1091","Wróblewska A","Dragan Ł",1
"1092","Wróblewska A","Dąbrowski J",3
"1093","Wróblewska A","Ganzha M",3
"1094","Wróblewska A","Grabowski K",1
"1095","Wróblewska A","Graliński F",3
"1096","Wróblewska A","Grzywacz A",1
"1097","Wróblewska A","Górecki T",1
"1098","Wróblewska A","Jasek J",1
"1099","Wróblewska A","Jastrzębski B",1
"1100","Wróblewska A","Kaliska A",1
"1101","Wróblewska A","Krzywda M",1
"1102","Wróblewska A","Kulczyński B",1
"1103","Wróblewska A","Kuntur S",2
"1104","Wróblewska A","Lipiński D",1
"1105","Wróblewska A","Michałowski A",2
"1106","Wróblewska A","Możdżonek M",1
"1107","Wróblewska A","Pachocki M",1
"1108","Wróblewska A","Paprzycki M",2
"1109","Wróblewska A","Pastuszak M",1
"1110","Wróblewska A","Pawlak S",1
"1111","Wróblewska A","Pawłowski M",1
"1112","Wróblewska A","Pieliński B",1
"1113","Wróblewska A","Roethel A",1
"1114","Wróblewska A","Rosalska P",1
"1115","Wróblewska A","Rychalska B",1
"1116","Wróblewska A","Seweryn K",2
"1117","Wróblewska A","Sosnowski W",1
"1118","Wróblewska A","Stanisławek T",3
"1119","Wróblewska A","Tkachuk S",2
"1120","Wróblewska A","Topolski B",1
"1121","Wróblewska A","Wieczorek M",2
"1122","Wróblewska A","Wójcika A",1
"1123","Wróblewska A","Ziembicki D",2
"1124","Wróblewska A","Ławrynowicz A",1
"1125","Wróblewska A","Łukasik S",2
"1126","Żychowski A","An B",1
"1127","Żychowski A","Bondi E",1
"1128","Żychowski A","Grajek F",1
"1129","Żychowski A","Gupta A",1
"1130","Żychowski A","Karwowski J",3
"1131","Żychowski A","Mańdziuk J",22
"1132","Żychowski A","Mycka J",3
"1133","Żychowski A","Ong Y",1
"1134","Żychowski A","Perrault A",2
"1135","Żychowski A","Ravindran B",1
"1136","Żychowski A","Tambe M",1
"1137","Żychowski A","Tomaszewska P",1
"1138","Żychowski A","Venugopal A",1
