"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Early-demographic dividend","EAR","GDP (current US$)","NY.GDP.MKTP.CD","131637078689.923","140036716309.145","144189887717.611","161801029341.015","180039001690.823","194128792257.131","190506904528.273","208043838518.908","227934693391.487","252869271646.281","270344193614.773","291523901731.415","323860391269.777","406590663146.377","573053511127.4","638390200268.631","706472966822.798","794025957029.565","886440862315.15","1081197964877.26","1355426060056.14","1506870589235.81","1425568298567.41","1421935166486.91","1438397582849.1","1436209736449.22","1443301513949.36","1465139232814.86","1548914841300.15","1578344500045.58","1840493287531.61","1953004021178.34","2145890831865.87","2382383522279.44","2502116964681","2551503564999.77","2767912528836.24","2956209292115.61","2921452243665.12","3090569978611.82","3377700768682","3351139229137.53","3254999167379.13","3622987599508.75","4210079741319.68","4895873888500.77","5596741342074.53","6624825302691.11","7460093874185.93","7172729962646.64","8708208712873.16","9813800566552.76","10261753916720.6","10406754465041.8","10766609704140","10237020101449.3","10537028724316.6","11393447781978.4","11524427704062.7","11767656585558.1","10981013167791.7","12771307369960.5","14131148776107.2","14847823837515.2",
"East Asia & Pacific","EAS","GDP (current US$)","NY.GDP.MKTP.CD","157148090063.28","158408605756.869","162135298445.562","180955858209.003","207767279305.521","231258746331.126","258764878061.521","281221664038.818","310695704730.82","358268396086.123","412631100026.355","458546459057.482","570116346638.761","751512068909.423","865802852262.618","947550695384.786","1042088860657.03","1241833980271.35","1569054071388.78","1703076893809.22","1840088028690.59","2028262842507.62","1986883138004.24","2115593849127.75","2263578142661.03","2388076785530.8","3123743377430.43","3667481813464.12","4409114816279.76","4590725407020.23","4790950086067.82","5412827586676.35","5917237193181.68","6619443693296.34","7404385947977.82","8407601716571.46","8101501479612.46","7743809425337.11","6931723210321.33","7743402600342.68","8377363424939.49","7789513198046.97","7912759253773.6","8702214026618.33","9758440010726.34","10411320781531.8","11034810130882.1","12331150790689.8","14220148735114.5","14630641103929.1","17078057240005.2","19796933123174.5","21174178691967.8","21411284057214.5","22089701789223.8","21995274219766.7","22776012762509.5","24329094912610","26487859556590.8","27032494942206.6","27156482410418.4","31148240510250.8","30663750183419.1","30775659199419.9",
"Europe & Central Asia (excluding high income)","ECA","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","231719774992.047","255834060621.47","289097626779.498","346940936294.689","333725379317.137","323228048625.082","342532323683.724","273360968932.817","306497135631.632","324891746056.126","344755415289.88","419693866241.018","382648784206.473","390254644017.597","334433492950.211","389028550190.813","495996118252.84","639128690749.53","796047189589.775","925984007321.038","1165481350733.46","1395064178011.71","1163141205236.09","1377629393492.27","1566799086233.4","1652506728905.02","1802285899175.5","1729714204725.05","1507646946545.93","1447395306947.53","1485108260761.97","1459981302399.66","1488770219744.96","1428327223229.53","1659440839146.7","1803038234535.2","2098349713814.25",
"Europe & Central Asia","ECS","GDP (current US$)","NY.GDP.MKTP.CD","426443191069.501","469280003585.545","513219975664.42","561276303595.301","620340951902.03","676460952680.477","731651662103.564","777412833292.371","818984557494.708","908300581591.625","1020817804365.85","1152009134804.23","1381535065716.95","1757663865739.86","1986456065661.54","2320724910516.46","2412984174057.91","2729066352656.91","3345784139074.54","4079020913342.22","4611623534358.83","4108150871076.71","3960025757324.45","3840328209015.85","3691045688253.73","3819244965644.86","5207726640026.54","6431399546947.68","7159610197781.09","7254765277401.91","8868968946763.85","9137898920510.6","9788830737692.74","9000999813897.17","9411954540738.09","10868921758424.8","11093788613775.7","10521843390122.4","10794474235063.8","10676207695862.7","10065925069173.9","10168292808351","11134331409101.7","13534598831552.2","15775505005718.8","16780903793743.8","18167737736908.1","21227702064340.8","23363341474912.2","20545109873740.8","21016513112950.8","23305973325589.8","22453705241187.9","23454990403618.1","23784373303750.2","20481460301210.5","20408605606979.3","21652842504644.6","23188735732226.2","22908223277507.4","22156549343244.9","25331394418403.8","25389267749916","27240628835585.3",
"Ecuador","ECU","GDP (current US$)","NY.GDP.MKTP.CD","2069464936.59762","1753850954.83979","1518207703.89016","1824343870.41393","2244146103.18342","2387047395.70254","2429308638.838","2553595172.08743","2582179864.15493","3112165727.38342","2862503139.00358","2754219271.03082","3185986087.33583","3891754150.23796","6599257044.12414","7731674472.07212","9091921030.17345","11026342618.1141","11922497876.4828","14175160902.0721","17881508242.4481","21810759353.7304","19929846396.4239","17152477036.5005","16912509091.855","17149088413.35","15314138472.3282","13945426859.4657","13051881851.4068","13890823704.5545","15239272611.5809","16988535267.6338","18094238119.0595","18938717358.6793","22708673336.6683","24432884442.2211","25226393196.5983","28162053026.5133","27981896948.4742","19645272636.3182","17539454727.3637","23127055000","27054197000","30965208000","35194947000","40278849000","45690762000","49848725000","61139438000","60094978000","68151329000","78986648000","87735048000","96570334000","102717794000","97209558000","97671433000","104467486000","107478962000","107595829000","95865472000","107435101000","116586079000","118844826000",
"Egypt, Arab Rep.","EGY","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","4948667540.41066","5278005611.91453","5605484298.98275","5932242990.65421","6524455205.81114","8042200452.1477","8609283346.08518","9299638055.84281","10098534613.4411","9228963224.60004","11632178868.9171","13315988083.4161","14400806875.9867","14811704063.0685","18020571428.5714","21669908176.3889","22136081081.0811","27655172413.7931","30966239813.7369","33971188991.6147","39053502251.0732","41253507951.3564","40455616653.5742","34980124929.0176","39756299049.9793","42978914311.3504","37387836490.5284","41855986519.4235","46578631452.581","51897983392.6453","60159245060.4541","67629716981.1321","78436578171.0914","84828807556.0803","90710704806.8416","99838543960.0763","96684636118.5984","85146067415.7303","80288461538.4615","78782467532.4675","89600665557.4043","107426086956.522","130437828371.278","162818181818.182","189147005444.646","218983666061.706","235989672977.625","279116666666.667","288434108527.132","305595408895.265","329366576819.407","332441717791.411","248362771739.13","262588632526.73","318678815489.749","383817841547.099","424671765455.704","476747720364.742","395926075163.006",
"Euro area","EMU","GDP (current US$)","NY.GDP.MKTP.CD","251547935974.241","280001211512.606","309682844045.604","340867415041.041","377688784742.458","412852327100.68","446696785788.476","474740436968.729","510444782330.281","570281638775.087","645797489611.472","731954124032.642","884219495454.534","1147887891986.71","1301780020040.85","1509429668218.72","1575250806532.18","1791799412675.22","2194147266452.84","2657918872119.1","2976836154321.74","2587111663021.85","2504826677675.29","2443641157282.63","2343942476961.57","2408039726596.14","3379544973186.51","4180009789415.67","4597153410901.03","4695807002305.46","5909782092743.88","6130268732320.05","6751656853901.46","6180929627354.03","6528765017707.34","7538490214319.51","7628743159352.41","6976433292194.28","7175152570560.74","7139949534351.68","6517629739562.02","6619382603491.19","7226691597174.83","8897545940283.21","10202235327777.1","10568560016101.4","11233646616679.6","12938432027569.6","14226784155767.8","13000703039470.1","12700582110966.2","13700831614329.5","12695678622498.6","13255654454944.7","13570070381398.8","11727106023830.5","12025904489799.8","12736901061170","13761117139592.9","13481146122147.1","13155164142399.1","14754625131073.3","14224347000135.6","15544858680873.8",
"Eritrea","ERI","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477101651.648376","467872714.755603","531688311.688312","578015625","693535954.190067","686490090.140141","745523116.900052","688918537.115555","706370815.584416","752371688.743186","729321680.154324","870248267.550163","1109054005.43971","1098424685.66169","1211161879.6748","1317974491.05691","1380188800","1856695551.21951","1589515447.15447","2065001626.01626","","","","","","","","","","","","",
"Spain","ESP","GDP (current US$)","NY.GDP.MKTP.CD","12433394725.2159","14248303793.24","16621504913.3918","19645746986.0978","21982577364.7334","25497831759.4923","29580564480.0281","32594186212.3253","32417481064.8806","37117200723.9474","40992995008.3195","46619420359.2814","59132415221.3306","78639525985.1513","97274006345.5437","114777046376.812","118507184779.905","132449277108.434","160599687500","214601955875.062","232766822928.754","202807891511.984","195996754505.528","170951185614.849","172102910370.524","180793463796.477","251321075204.942","318747935588.196","376160409941.437","414757056921.996","536558591250.408","577166174539.632","630916018202.503","525075636030.854","530562634455.347","614609020549.773","642588992512.807","590077272727.273","619214834614.099","634907542858.302","598363313494.903","627830029412.205","708756677088.629","907491523174.116","1069055675273.75","1153715822717.51","1260398977831.76","1474002579820","1631863493552.34","1491472923706.64","1422108199783.34","1480710495710.12","1324750738725","1355579535912.55","1371820537888.62","1196156971279.69","1233554967011.68","1313245330197.65","1421702715218.04","1394320055129.41","1278128867875.49","1445651653604.63","1417800466262.65","1580694712515.71",
"Estonia","EST","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4013091682.2914","4123011419.74174","4502970889.06373","4786018988.16491","5154420649.23354","5674080542.88575","5756912265.75809","5686579747.53524","6254649538.98487","7367975887.72723","9874013098.46432","12145911801.2422","14106790200.2239","17022870405.2189","22449129482.617","24341678628.9732","19633031397.6104","19523477325.6235","23213994093.4631","23019150071.1867","25115753366.1114","26634083965.0987","22890762090.1508","24072829276.7744","26924385103.0659","30624720196.229","31290453293.545","31330419851.1487","36864792511.6351","37921480881.5429","40744848827.9537",
"Ethiopia","ETH","GDP (current US$)","NY.GDP.MKTP.CD","1610511693.78543","1680859514.11965","1747566307.13633","1825058827.96558","1984129185.46553","2159998591.19132","2324466416.1146","2461762002.75775","2619948864.86506","2768987371.88775","3045354454.77066","3224280834.87075","3520252938.32165","4070570549.89297","4577209966.3327","4577047854.2871","4943806093.46396","5651840584.64903","6014961434.80261","6586048398.12812","7012585454.12203","7507663566.42971","7899988840.67729","8781664426.87024","8298309580.50903","9717392686.7328","10094328897.8588","10790001557.8672","11181119717.6458","11762932007.237","12478943894.9315","13799799323.6715","10754799036.5745","9051043870.12197","7100806753.92942","7855205206.93405","8761215548.48614","8803539988.33248","8013274131.69715","7892973531.80045","8242349617.8638","8231326016.47494","7850809498.16803","8623691300.04079","10131187261.4421","12401139453.9738","15280861834.6024","19707616772.7996","27066912635.2228","32437389116.038","29933790334.3418","31952763089.33","43310721414.0829","47648276605.0123","55612228233.5179","64589328550.5953","74296745207.8721","81770886825.6048","84269196625.8784","95912607722.3032","107657734392.446","111261882958.426","126772703047.701","163697927593.982",
"European Union","EUU","GDP (current US$)","NY.GDP.MKTP.CD","285073053085.955","316870410350.502","350221814291.119","384821620915.057","426857747595.769","467082505496.478","505703862438.402","538499760817.859","577998463968.485","645042628143.752","729230210211.277","824288432698.773","994401350599.746","1286732424384.32","1456741990415.93","1696431872318","1777203100260.28","2012781495101.97","2451545641660.2","2962558958496.72","3314876480855.17","2893850859545.11","2792072843193.84","2714737320293.1","2615737658425.74","2690005731428.46","3755825284547.25","4642293245437.36","5096307310101.02","5205659077752.17","6509870874516.41","6733632573117.18","7392186357757.62","6751222891775.62","7155503335744.4","8296091250458.22","8431591142243.4","7733843716226.58","7969880727935.98","7925844560641.68","7276390686987.55","7393611976746.92","8083519738170.34","9932134719712.14","11418900282600.5","11910069053861.6","12712635655986.7","14727520908988.9","16295391110313.4","14762842568792.8","14556122142376.7","15765158666571.2","14641634844097.4","15294853937310.5","15651372745918.6","13553897260141","13888833465037.9","14765880176508.2","15981445869808.9","15694050310523.1","15381418584246.1","17315127119106.5","16761496590765.2","18349388450765.6",
"Fragile and conflict affected situations","FCS","GDP (current US$)","NY.GDP.MKTP.CD","30738244854.8701","32690862791.4598","35607386321.412","38028727377.0835","38274770246.3066","40813674761.9981","43238591720.6296","44174621789.5396","48568838756.4891","53610325877.9717","65401455198.1285","66561388561.5775","77479654097.0698","95510532409.236","146900682075.838","161513557226.356","195304501831.505","213278349713.398","231356882179.08","297569999135.35","382755054625.331","512808130778.471","487187691901.753","421776651429.212","382295044281.808","389797449491.568","357218736728.349","359768873805.459","389154194377.425","382426616750.55","550431826024.048","386525300417.994","345171861552.748","351215280928.572","353240292006.154","431762560996.372","466440871846.86","522326775784.846","536100031620.824","400171162201.28","468035986782.24","458017480633.769","446928936249.041","470617921462.847","596965322028.115","755160909781.589","945955284127.61","1159333496786.87","1481946186150.49","1342728724357.15","1593981100293.48","1664321553843.86","1861813804786.77","1935544489353.46","2053788945066.26","1617323277101.47","1490633651211.68","1549712150984.09","1735183810120.25","1842154935322.18","1690930063237.89","1796274437015.52","1950006457159.66","1906801170087.86",
"Finland","FIN","GDP (current US$)","NY.GDP.MKTP.CD","5279011362.12721","5983900493.16006","6407225035.04429","6958296429.35169","7848288358.27266","8679620316.85567","9305312888.26773","9467428626.11527","8915770472.97601","10176617905.4405","11357516987.5425","12527405512.9298","14743186119.8738","19472363466.6252","24848821490.4679","29472623242.2822","31849513771.3494","33499799321.2336","36256160288.8087","44465255686.1548","53645202422.6968","52448332874.07","52797582336.2526","50973526900.0854","52888800949.7428","55875863392.1719","73531550551.255","91594751792.2359","109058990760.483","119012054870.445","141438345513.917","127773856785.767","112532519246.084","89214114708.0254","103299943084.804","134189814814.815","132129174216.93","126912152101.707","134038718291.055","135264083658.688","126019543413.334","129533107311.811","140404460203.138","171652458349.411","197479443979.151","204885494686.381","217089269791.764","256378067752.158","285716311136.719","253497520828.515","249424310816.667","275604356167.316","258290060227.734","271362405890.589","274862826772.156","234534382384.766","240771351298.833","255647979916.471","275708001767.843","268514916972.549","271886077382.102","296470417085.267","281887430795.721","300187202696.084",
"Fiji","FJI","GDP (current US$)","NY.GDP.MKTP.CD","112328422.113084","116987784.913739","122906434.957814","129454728.623599","140032741.468329","147084750.031482","150603925.515853","162625885.863484","166952937.135005","182182067.703568","219878482.173564","247749327.721267","316656648.698957","425950487.519894","558587097.382833","684282434.361095","694540806.380644","719501765.783049","829267889.429373","1019691460.17376","1202618816.20852","1235626770.50924","1194059943.22478","1123085190.06509","1178000677.99929","1141168943.97661","1290267339.65006","1177947965.12142","1110009522.75743","1182660265.76635","1337017559.49728","1383883249.591","1532411039.05479","1636101246.9394","1825732092.54674","1970301486.20561","2128696643.62574","2090221137.02876","1653146716.58235","1936459986.03795","1678219507.89829","1652462023.46215","1833279985.36741","2300492465.32276","2708078476.63012","2980403844.72096","3076305452.86506","3378314599.76402","3523185919.55826","2870624635.68032","3140166712.79624","3779411899.37483","3972028104.47328","4189967998.51424","4857104768.86844","4682479893.97558","4930213644.36653","5353469174.47838","5581425327.44397","5444407198.13478","4432466219.87685","4305031649.74189","4979979531.2725","5494797540.73365",
"France","FRA","GDP (current US$)","NY.GDP.MKTP.CD","62225478000.8822","67461644222.0352","75607529809.9288","84759195105.8693","94007851047.3678","101537248148.427","110045852177.928","118972977486.207","129785441507.456","141903068680.309","148456359985.827","165966615366.402","203494148244.473","264429876252.21","285553737043.099","360832186018.051","372319038514.067","410279486493.715","506709302325.581","613953129818.07","701288419745.421","615552202776.101","584877732308.614","559869179791.72","530683779929.445","553138414367.061","771470783218.108","934173305685.911","1018847043277.17","1025211803413.53","1269179616913.63","1269276828275.78","1401465923172.24","1322815612694","1393982750472.59","1601094756209.75","1605675086549.56","1452884917959.09","1503108739159.44","1493151737698.46","1365639660792.16","1377657339291.34","1501409382971.38","1844544792036.86","2119633181634.37","2196945232435.8","2320536221304.7","2660591246211.77","2930303780828.12","2700887366932.03","2645187882116.67","2865157541994.17","2683671716967.19","2811876903329.03","2855964488590.19","2439188643162.5","2472964344587.17","2595151045197.65","2790956878746.66","2728870246705.88","2647418691598.45","2959355819170.5","2779092236505.85","3030904089607.9",
"Faroe Islands","FRO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","57954522.4217259","64397131.0846457","66225403.5588069","65186666.6666667","70106666.6666667","84933333.3333333","99219082.8537991","119335897.815202","161236465.823622","196771070.895339","227404436.013679","270470345.449357","347798304.635267","397833034.884512","448568492.658561","493014300.005217","456244919.010912","444047495.320099","486605127.702681","426008864.692169","459307281.195335","688914288.878298","886508622.334316","968576956.930265","871935350.384909","960805408.949872","909253214.82608","912670413.325883","760957189.757646","758739178.612171","901404709.830684","989536914.659081","933763083.395627","1104744235.30111","1127684827.35686","1067109530.64798","1160268212.07291","1275093689.27107","1501941580.88903","1724770770.83393","1759739599.22694","2017680834.89917","2339015313.29513","2489873249.62815","2296065170.05552","2331796784.36009","2505740669.27039","2427200388.91831","2690110520.92548","2914012679.27277","2573905971.05459","2813278868.78208","2980057377.87967","3188600927.46688","3266432734.22819","3262045883.37293","3655063937.93145","3555929833.05051","",
"Micronesia, Fed. Sts.","FSM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","19885925.9776471","21783157.5705882","25100928.16","34821467.3552941","46095174.9382353","46119184.1064706","46813192.5841177","47305559.6917647","53656834.28","60270778.3341177","64186644.2535294","76472529.4117647","80055705.882353","84110352.9411765","84676117.6470588","101931941.176471","112210000","116700000","124700000","135200000","147200000","166200000","178100000","198400000","202500000","221575300","218534700","206626300","218873100","220140500","233271800","240970900","242517200","245432900","240236000","250281900","253541900","256787200","263145100","280284600","296944100","311301600","327248700","317214400","319271200","316489900","325000000","359000000","392000000","394000000","372000000","390000000","430000000","460000000",
"Gabon","GAB","GDP (current US$)","NY.GDP.MKTP.CD","141468977.799846","167637907.122782","182796536.266025","154480244.055222","215679855.342091","226474285.779063","245849781.273234","271543680.048895","294468564.245272","318124701.478771","323802475.512425","381687072.622379","430508358.514204","722780701.295854","1544216001.66059","2157592940.04234","3009409974.26856","2809349069.22118","2389479271.66616","3030251120.09759","4279637942.25144","3862269120.53497","3618007841.13503","3391275731.53751","3561451560.50783","3339914757.22872","3403638189.20049","3281797043.04996","3834503376.02992","4186411463.85975","5952293764.84777","5402919784.57004","5592390827.39854","4378645081.01769","4190819344.22255","4958845648.04778","5694040002.89863","5326817114.53586","4483417309.83011","4662992036.2073","5080483628.53013","5023265413.2623","5335451099.88223","6511903365.47554","7770219008.21293","9582783990.85345","10327598306.4575","12455409587.3371","15571348344.3379","12113699068.2517","14372593020.2885","18210307743.5816","17170464016.0593","17595744798.3398","18203966895.8433","14383107762.6952","14023890265.3665","14929487485.1623","16867326389.8704","16874405460.1955","15314577167.8211","20217946921.2065","21071739227.9422","20516134388.6608",
"United Kingdom","GBR","GDP (current US$)","NY.GDP.MKTP.CD","73233967692.1028","77741965703.3544","81247564156.8246","86561961812.3249","94407558351.1616","101824755078.991","108572752102.045","113116888210.787","107759910067.889","116464702803.218","130671946244.3","148113896325.14","169965034965.035","192537971582.558","206131369798.971","241756637168.142","232614555256.065","263066457352.172","335883029721.956","438994070309.191","564947710899.373","540765675241.158","515048916841.37","489618008185.539","461487097632.349","489285164271.047","601452653180.885","745162608269.325","910122732123.799","926884816753.927","1093169389204.55","1142797178130.51","1179659529659.53","1061388722255.55","1140489745944.29","1344240176739.78","1419645865834.63","1560911918795.02","1653694932096.72","1687830448147.55","1665534876683.31","1649827263567.01","1785729916067.15","2054422857142.86","2421525082387.4","2543180000000","2708441582336.71","3090510204081.63","2929411764705.88","2412840006231.5","2485482596184.71","2663805834828.07","2707089726614.64","2784853502534.29","3064708247921.43","2927911140916.73","2689106566899.61","2680148052335.3","2871340347581.79","2851407164907.81","2697806592293.86","3141506156618.7","3088839763445.02","3340032380668.04",
"Georgia","GEO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","11502.6326447955","13825.7575757576","14047.4100087796","7500000000","6400000000","3730000000","2701301482.70181","2514070771.80273","2693768412.89179","3095047603.8083","3510520231.21387","3613497316.55319","2800025882.71672","3057475335.18846","3219462262.0075","3395766677.67315","3991377904.13162","5125365191.98664","6410912049.87105","7745250733.95067","10172931088.5655","12795145130.9103","10766920065.8251","12426907967.1578","15475290469.2869","16894392033.2256","17517660143.6859","17966015109.3043","15223796148.8396","15444548901.9637","16473125375.0684","17902544880.6471","17638337116.9126","16010869215.68","18853115588.8106","24984568959.605","30535530479.0227",
"Ghana","GHA","GDP (current US$)","NY.GDP.MKTP.CD","1223943661.97183","1309859154.92958","1390140845.07042","1549295774.64789","1740845070.42254","2064788732.39437","2138028169.01408","1748837209.30233","1666666666.66667","1961764705.88235","2214705882.35294","2427184466.01942","2116541353.38346","3018103448.27586","2894409937.8882","2810106382.97872","2765254237.28814","3189428571.42857","3662478184.99127","4020227920.22792","4445228215.76763","4222441860.46512","4035994397.7591","4057275132.27513","4412279843.44423","4504306722.68908","5735677433.82683","5074829931.97279","5197765031.64557","5251858439.874","5889106573.46088","6603185267.79643","6416103925.83267","5968922939.37198","5446383726.77047","6464382807.67884","6932991739.37767","6891443192.24985","7482069162.42008","7718109982.26093","4982850662.20851","5314872854.4405","6166197847.85031","7632723555.66221","8881417906.71432","10744568381.4456","20885037596.6963","24827339138.4906","28679383241.0729","26048720005.5233","32197655566.5347","39336668080.559","41271701060.954","62824629066.0408","54783319817.3705","49406010054.2663","56164929304.8754","60405924078.7278","67298914624.3723","68337969247.7067","70043095503.6675","79524421861.2743","74263364041.8742","76370394412.4163",
"Gibraltar","GIB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","3220224607.82431","3594302908.04257","4203069035.01543","5152080387.57093","5691417541.3213","6102769605.45119","6762781870.60848","6914381290.58062","8087305999.04733","8877094497.4439","9746524915.09383","9646440666.52053","11926032493.4368","15129893722.3441","18421497251.175","22787644565.9033","2909130355.23937","2976714019.06961","3476480303.12292","3546079262.95061","3888320665.5228","4396178694.1535","4789220416.70641","4781166116.51789","4932800406.92974","5385704166.43341","5641243099.76661","5516916163.0949","5232118046.3713","5046806782.54761","4367458866.71537","4125527603.22908","4301608752.51396","5025167975.26363","5300767960.51572","4282468636.90501","4220019242.72882","6281917649.94033","6964179187.85579","6716904516.97953","6853467832.49407","6785137215.55736","7638045226.04416","8376613880.84932","8778473643.31852","8794202394.29076","8595955600.36601","10324668271.1032","11857030367.2441","13442861496.4128","14177835841.3923","16091817842.1318","20999229260.4995","23612295818.0961",
"Gambia, The","GMB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","44212081.3502297","46695006.9579374","41160065.8561054","45168072.2689156","52296083.6737339","55728663.222684","59160569.4804413","75187749.0961317","95796021.6888272","115179719.077633","112190829.470457","138093099.09774","171833086.019624","207112627.726094","241083090.303623","218767743.459101","216050552.301584","213448584.936945","177340880.086204","225726358.890914","185646986.824927","220626484.224811","266672211.934161","284120329.401023","317083695.477797","690311080.515018","714254256.122189","755040974.087322","746493951.900959","785999864.840299","848239446.21576","803633342.473706","840285264.631545","814724032.065735","782913871.80966","687410645.063943","578235309.327198","487038685.045496","961900651.423441","1027701067.55688","1054112487.74083","1279703047.0221","1561766955.73024","1450142508.57808","1543294926.87301","1409693596.93594","1415004738.26621","1375609453.43746","1229461721.40861","1378176608.93204","1484578885.97132","1504909462.69521","1670671327.81651","1813609692.49994","1812170891.19069","2014158842.65394","2175099789.97829","2339904156.79214",
"Guinea-Bissau","GNB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","204670551.372114","204167297.397787","227986203.918854","232331281.494446","256769729.742062","283311996.687469","292152321.563028","298871674.236163","318876550.606101","308143183.271906","287648258.568227","402230865.388642","430284021.909459","425225176.964084","359980490.493911","373959151.096904","338524232.508213","451893374.9247","427514321.553446","554072302.830696","634187269.226507","668470890.01478","588309271.229172","615779519.096288","612502084.642847","660195401.946403","702965147.451887","698107222.497006","591034143.344266","579365780.157765","391345597.467891","412610871.491565","466773711.234075","553614800.137137","582169841.275298","639776040.624112","634781901.283407","753162998.060137","952667543.964674","890167833.365875","940112538.964179","1157074319.11175","1049412177.07573","1109682824.13676","1135250721.02484","1152384166.79638","1245074264.10396","1469978606.12143","1554133593.91699","1486476582.06759","1520479984.56808","1724555634.36594","1714166526.44573","1966461400.35833",
"Equatorial Guinea","GNQ","GDP (current US$)","NY.GDP.MKTP.CD","","","9122751.45318345","10840095.1283649","12712471.3960211","64748333.3333333","69110000","72317446.9327193","67514285.7142857","67225714.2857143","66331428.5714286","64946954.756798","65429198.238708","81203226.9138345","94159862.7073691","104295643.388437","103653049.93797","103987520.075827","","","50642880.7737503","36731422.8456914","44294647.733479","44442456.94764","50320914.4065688","62118569.9654481","76407395.8727542","93345859.52973","100534656.881732","88265974.861049","112119411.489965","110906028.536862","134707183.84662","136047906.245408","100807002.540195","141853360.867855","232463022.802961","442337870.69437","370687634.425712","621117885.668503","1045998496.43872","1461139022.02954","1806742742.27311","2484745935.09329","4410764338.66733","8217369092.65224","10086528698.8604","13071718758.7373","19749893536.3204","15027795173.2187","16314443436.2903","21357343668.9447","22388344143.9131","21948834283.7856","21765453081.9826","13185496881.0174","11240808847.8878","12200913878.9827","13097012133.6159","11364133549.7478","9893816007.7398","12215878032.7166","13486788878.9757","12116922539.4112",
"Greece","GRC","GDP (current US$)","NY.GDP.MKTP.CD","4335191696.00585","4961399303.48393","5213043168.0939","5895281431.59188","6669669849.61844","7689148374.19223","8591522486.93443","9275600800.35644","10090674766.7032","11615655895.4054","13139863636.3636","14591750000","16885511363.6364","22347848101.2658","25351306818.1818","28525876726.8863","31152835820.8955","36176234967.6226","44270204081.6327","54481876724.931","56829664268.5851","52346506765.0676","54617989795.9184","49428873839.0093","48020024183.7969","47820851221.3175","56379593476.1441","65652750377.4535","76261277924.5736","79169043222.8284","97891092003.4394","105143232379.884","116224672863.783","108809059155.767","116601801966.292","136878365936.167","145861612400.906","143157600149.757","144428172489.335","142588875293.749","130457756628.436","136309295225.34","154564203586.954","202370140236.265","240963562236.127","247875422204.414","273546728473.073","318902829550.733","355908689477.445","331308500253.274","297124961971.501","282995942006.557","242029307133.408","238907690051.13","235458133124.608","195683527003.375","193148146586.933","199844406013.531","212049447242.111","205252760889.364","188480337285.605","214667807441.202","217581324512.059","238206312632.528",
"Grenada","GRD","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","71494495.1851852","88322386.2962963","102244362.222222","110900457.037037","115651918.888889","125435590","131803552.222222","145533310.740741","167728455.185185","187589522.592593","215009569.62963","236357523.703704","267327642.222222","278098762.962963","300757888.888889","310160444.444444","309812185.185185","325111814.814815","342172518.518519","366911444.444444","392190592.592593","445903592.592593","482009370.37037","520044370.37037","520444185.185185","540336925.925926","591018407.407407","599118592.592593","695555555.555555","698700666.666667","758683592.592593","825976037.037037","771275555.555555","771014814.814815","778655555.555555","799881481.481481","842618518.518518","911496296.296296","997007407.407407","1061640740.74074","1125685185.18519","1166514814.81481","1213485185.18519","1043411111.11111","1122800000","1224577777.77778","1320334235.58897",
"Greenland","GRL","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","69520026.6666667","88466738.2497268","106101297.801272","140153748.243656","169918948.629182","211190630.329609","240779417.7857","282269749.160113","355987433.41569","420645821.540488","476051740.773769","435748993.418421","402403041.029269","416184071.019417","379371901.490374","412876382.829174","603016292.686978","787390408.953269","898607670.624413","929799902.191124","1018977280.32928","1016500069.25708","1037916162.54976","927214151.76793","1005887539.32049","1208953287.06598","1197515569.08202","1072154433.84538","1149858069.75766","1131555107.04907","1068025016.00862","1086170703.9816","1169136716.03557","1558759823.08169","1822499769.23938","1849802648.36391","2013106929.50031","2249811295.6608","2499092314.41875","2529963903.22685","2503167187.49305","2684461375.46585","2609678486.36749","2684946990.12448","2842065708.35962","2499113022.81675","2707139544.46695","2851613679.03433","3055782146.15957","2997309971.87623","3082884653.2456","3235809504.29871","","",
