IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,AGO,Angola,Year,2019,true,,,,,,,,,,,,,195.8,,,,,,195.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,true,,,,,,,,,,,,,196.8,,,,,,196.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,,,,,,,,,,,,,2016,,,,,,2 016.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,AUT,Austria,Year,2019,true,,,,,,,,,,,,,2203,,,,,,2 203.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,SWE,Sweden,Year,2019,true,,,,,,,,,,,,,2253,,,,,,2 252.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,POL,Poland,Year,2019,true,,,,,,,,,,,,,2771,,,,,,2 770.6,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,BEL,Belgium,Year,2019,true,,,,,,,,,,,,,2771,,,,,,2 771.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,,,,,,,,,,,,,2831,,,,,,2 830.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,DMA,Dominica,Year,2019,true,,,,,,,,,,,,,2.27,,,,,,2.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,COM,Comoros,Year,2019,true,,,,,,,,,,,,,2.68,,,,,,2.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,,,,,,,,,,,,,2.77,,,,,,2.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,,,,,,,,,,,,,2.86,,,,,,2.9,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,,,,,,,,,,,,,20.06,,,,,,20.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,true,,,,,,,,,,,,,20.98,,,,,,21.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,HTI,Haiti,Year,2019,true,,,,,,,,,,,,,21.44,,,,,,21.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,,,,,,,,,,,,,21.78,,,,,,21.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2019,true,,,,,,,,,,,,,21.99,,,,,,22.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,true,,,,,,,,,,,,,220.4,,,,,,220.4,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,,,,,,,,,,,,,23663,,,,,,23 663.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,true,,,,,,,,,,,,,23.04,,,,,,23.0,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,true,,,,,,,,,,,,,230.3,,,,,,230.3,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,PAN,Panama,Year,2019,true,,,,,,,,,,,,,231.7,,,,,,231.7,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,,,,,,,,,,,,,231.8,,,,,,231.8,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,,,,,,,,,,,,,232.1,,,,,,232.1,,,EN,2023-04-19T22:00:00.000Z
ORALHEALTH_PRODLOSS_ORALDISEASES,Total productivity losses due to 5 oral diseases in million (US$),numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,,,,,,,,,,,,,236.9,,,,,,236.9,,,EN,2023-04-19T22:00:00.000Z
