outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Salt Lake County",0.0231006334,0.0163487368,0.0325487389
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Salt Lake County",0.0150538223,0.0085800158,0.0262827624
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Salt Lake County",0.0241054613,0.0166976567,0.0346837682
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Salt Lake County",0.0506594236,0.0349459419,0.0729047224
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Salt Lake County",0.017637031,0.0105417564,0.0293661439
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Utah County",0.0227470882,0.0157306639,0.0327888272
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Utah County",0.0171390647,0.0094208549,0.0309827845
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Utah County",0.0236113969,0.0159004311,0.0349290944
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Utah County",0.0455920499,0.0292594208,0.0703805721
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Utah County",0.0140587206,0.0077976885,0.0252191723
Cocaine Use in the Past Year,12 or Older,2004-06,"Utah Weber, Morgan",0.0229899238,0.0153739262,0.034247537
Cocaine Use in the Past Year,12 to 17,2004-06,"Utah Weber, Morgan",0.0193953577,0.0109284292,0.0341953435
Cocaine Use in the Past Year,18 or Older,2004-06,"Utah Weber, Morgan",0.023467186,0.0152307543,0.0359948819
Cocaine Use in the Past Year,18 to 25,2004-06,"Utah Weber, Morgan",0.0616604537,0.0397711982,0.0944125722
Cocaine Use in the Past Year,26 or Older,2004-06,"Utah Weber, Morgan",0.0144790467,0.0078501751,0.0265556692
Cocaine Use in the Past Year,12 or Older,2004-06,"Vermont",0.0295316436,0.0244219205,0.0356713675
Cocaine Use in the Past Year,12 to 17,2004-06,"Vermont",0.0187378889,0.0131127959,0.0267107092
Cocaine Use in the Past Year,18 or Older,2004-06,"Vermont",0.0306921263,0.0251544563,0.0374021224
Cocaine Use in the Past Year,18 to 25,2004-06,"Vermont",0.1059875871,0.0881817844,0.1268884334
Cocaine Use in the Past Year,26 or Older,2004-06,"Vermont",0.0179004419,0.0128862634,0.0248166383
Cocaine Use in the Past Year,12 or Older,2004-06,"Vermont Champlain Valley",0.0364990373,0.0287115689,0.0462980272
Cocaine Use in the Past Year,12 to 17,2004-06,"Vermont Champlain Valley",0.0189114028,0.011495102,0.0309626101
Cocaine Use in the Past Year,18 or Older,2004-06,"Vermont Champlain Valley",0.0384624306,0.0299700137,0.0492391388
Cocaine Use in the Past Year,18 to 25,2004-06,"Vermont Champlain Valley",0.1236207333,0.0974575927,0.1555966756
Cocaine Use in the Past Year,26 or Older,2004-06,"Vermont Champlain Valley",0.0205516186,0.0132053525,0.0318527663
Cocaine Use in the Past Year,12 or Older,2004-06,"Vermont Rural Northeast",0.0267411623,0.0194185787,0.0367216241
Cocaine Use in the Past Year,12 to 17,2004-06,"Vermont Rural Northeast",0.0180974451,0.0104897965,0.031049358
Cocaine Use in the Past Year,18 or Older,2004-06,"Vermont Rural Northeast",0.0276735458,0.0197966714,0.0385612443
Cocaine Use in the Past Year,18 to 25,2004-06,"Vermont Rural Northeast",0.0899930129,0.0633179744,0.126389539
Cocaine Use in the Past Year,26 or Older,2004-06,"Vermont Rural Northeast",0.0177024851,0.0110123523,0.028340484
